timestamp,Hanover Park IL TGS - ESN (),Hanover Park IL TGS - Reflector_url  (),Hanover Park IL TGS - Reflector_status (),Hanover Park IL TGS - GPS_gs (meter_per_sec),Hanover Park IL TGS - Location (),Hanover Park IL TGS - Outside_Temp (°F),Hanover Park IL TGS - Conveyor_RPM (),Hanover Park IL TGS - Liq_GPM (gal/min),Hanover Park IL TGS - Pressure (psi),Hanover Park IL TGS - GPS_gs - transformed (meter_per_sec),Hanover Park IL TGS - Liq_GPM - transformed (gal/min)
"2019-02-01T05:59:57.847886Z","","","","","","","","",370.0,"",""
"2019-02-01T05:59:56.847091Z","","","","","","",11340.0,"","","",""
"2019-02-01T05:59:55.994176Z","","","","","{""alt"":243.262,""lat"":42.01441379,""lng"":-88.12891733}","","","","","",""
"2019-02-01T05:59:55.994092Z","","","",9.791,"","","","","",12.027940000000001,""
"2019-02-01T05:59:52.847754Z","","","","","","","","",365.0,"",""
"2019-02-01T05:59:51.846981Z","","","","","","",13020.0,"","","",""
"2019-02-01T05:59:50.996364Z","","","","","{""alt"":242.877,""lat"":42.01441885,""lng"":-88.12955035}","","","","","",""
"2019-02-01T05:59:50.996279Z","","","",10.778,"","","","","",13.014940000000001,""
"2019-02-01T05:59:47.847699Z","","","","","","","","",265.0,"",""
"2019-02-01T05:59:46.846940Z","","","","","","",1.35e4,"","","",""
"2019-02-01T05:59:45.998322Z","","","","","{""alt"":242.546,""lat"":42.01437137,""lng"":-88.13019315}","","","","","",""
"2019-02-01T05:59:45.998220Z","","","",11.093,"","","","","",13.32994,""
"2019-02-01T05:59:42.847588Z","","","","","","","","",337.0,"",""
"2019-02-01T05:59:41.846822Z","","","","","","",1.32e4,"","","",""
"2019-02-01T05:59:40.998396Z","","","","","{""alt"":241.643,""lat"":42.01424008,""lng"":-88.13084269}","","","","","",""
"2019-02-01T05:59:40.998310Z","","","",11.221,"","","","","",13.45794,""
"2019-02-01T05:59:37.847480Z","","","","","","","","",503.0,"",""
"2019-02-01T05:59:36.846769Z","","","","","","",1.32e4,"","","",""
"2019-02-01T05:59:35.999892Z","","","","","{""alt"":242.936,""lat"":42.01399512,""lng"":-88.13141202}","","","","","",""
"2019-02-01T05:59:35.999805Z","","","",10.799,"","","","","",13.03594,""
"2019-02-01T05:59:32.847430Z","","","","","","","","",449.0,"",""
"2019-02-01T05:59:31.846702Z","","","","","","",1.35e4,"","","",""
"2019-02-01T05:59:31.000183Z","","","","","{""alt"":244.942,""lat"":42.01368272,""lng"":-88.13191818}","","","","","",""
"2019-02-01T05:59:31.000096Z","","","",10.376,"","","","","",12.61294,""
"2019-02-01T05:59:27.847356Z","","","","","","","","",749.0,"",""
"2019-02-01T05:59:26.846562Z","","","","","","",12960.0,"","","",""
